LSOACode,Cluster
E01001960,3
E01001962,3
E01001963,3
E01001964,3
E01001965,3
E01001966,3
E01001967,3
E01001968,3
E01001969,3
E01001972,1
E01001973,3
E01001974,3
E01001975,3
E01001976,1
E01001978,1
E01001979,1
E01001980,1
E01001981,1
E01001982,1
E01001983,1
E01001984,3
E01001985,3
E01001986,3
E01001987,3
E01001988,3
E01001989,3
E01001990,3
E01001991,3
E01001992,0
E01001993,0
E01001994,3
E01001995,3
E01001996,3
E01001997,3
E01001998,3
E01001999,1
E01002000,3
E01002001,3
E01002003,1
E01002004,3
E01002005,3
E01002006,3
E01002007,3
E01002008,3
E01002009,3
E01002010,3
E01002011,3
E01002013,3
E01002014,3
E01002015,3
E01002016,3
E01002017,3
E01002018,3
E01002019,3
E01002020,3
E01002021,3
E01002022,3
E01002023,3
E01002024,3
E01002025,0
E01002027,1
E01002028,1
E01002029,1
E01002031,3
E01002032,1
E01002033,1
E01002041,1
E01002042,3
E01002043,1
E01002044,3
E01002045,1
E01002047,3
E01002048,3
E01002049,1
E01002056,1
E01002059,3
E01002060,3
E01002061,3
E01002062,3
E01002063,3
E01002064,1
E01002065,3
E01002067,1
E01002068,1
E01002069,1
E01002070,3
E01002078,1
E01002080,1
E01002083,3
E01002084,1
E01002085,1
E01002087,1
E01002088,3
E01002092,1
E01002098,3
E01002100,1
E01002101,3
E01002102,3
E01002103,3
E01002105,3
E01002106,0
E01002107,0
E01002109,0
E01002110,0
E01002111,3
E01002112,0
E01002114,2
E01002115,0
E01002116,0
E01002117,2
E01002118,3
E01002119,3
E01002121,3
E01002122,3
E01002126,3
E01002127,3
E01002128,3
E01002129,3
E01002130,3
E01002132,0
E01002134,0
E01002135,3
E01002136,3
E01002137,0
E01002138,3
E01002140,2
E01002141,2
E01002142,0
E01002143,3
E01002144,0
E01002145,2
E01002146,0
E01002147,0
E01002148,0
E01002150,3
E01002152,0
E01002153,0
E01002154,3
E01002155,0
E01002156,0
E01002157,3
E01002158,0
E01002159,0
E01002160,3
E01002161,3
E01002162,3
E01002163,0
E01002164,0
E01002178,0
E01002179,1
E01002180,1
E01002181,3
E01002182,3
E01002183,3
E01002184,3
E01002185,1
E01002186,2
E01002187,0
E01002188,0
E01002189,0
E01002190,0
E01002191,0
E01002192,0
E01002193,0
E01002194,0
E01002195,0
E01002196,0
E01002197,2
E01002199,3
E01002200,3
E01002204,3
E01002206,3
E01002207,0
E01002208,0
E01002209,0
E01002210,0
E01002212,3
E01002213,3
E01002214,3
E01002215,1
E01002216,0
E01002218,3
E01002219,3
E01002220,2
E01002222,3
E01002225,0
E01002226,3
E01002228,0
E01002229,2
E01002230,0
E01002231,2
E01002232,3
E01002233,1
E01002234,2
E01002236,1
E01002237,3
E01002239,0
E01002240,3
E01002242,0
E01002243,1
E01002244,2
E01002245,3
E01002246,2
E01002247,1
E01002248,2
E01002249,3
E01002250,2
E01002251,1
E01002252,0
E01002253,0
E01002254,0
E01002255,2
E01002256,0
E01002257,0
E01002258,2
E01002259,0
E01002260,2
E01002261,2
E01002262,2
E01002263,0
E01002264,1
E01002265,0
E01002266,2
E01002267,1
E01002269,0
E01002270,0
E01002271,0
E01002272,2
E01002273,0
E01002274,0
E01002275,0
E01002276,1
E01002277,1
E01002278,1
E01002279,1
E01002280,1
E01002281,1
E01002284,1
E01002285,2
E01002286,0
E01002287,2
E01002288,0
E01002289,2
E01002290,0
E01002291,2
E01002292,2
E01002293,2
E01002294,0
E01002295,2
E01002296,2
E01002297,1
E01002298,2
E01002299,2
E01002300,2
E01002301,2
E01002302,2
E01002303,1
E01002304,2
E01002305,2
E01002306,1
E01002307,2
E01002308,1
E01002309,1
E01002310,1
E01002311,1
E01002313,1
E01002314,1
E01002315,1
E01002316,1
E01002317,0
E01002318,2
E01002319,2
E01002320,2
E01002321,0
E01002322,2
E01002323,2
E01002324,2
E01002325,1
E01002326,1
E01002327,2
E01002328,2
E01002329,2
E01002330,2
E01002331,2
E01002332,2
E01002333,2
E01002334,0
E01002335,2
E01002336,2
E01002337,0
E01002338,2
E01002339,0
E01002340,0
E01002341,2
E01002342,1
E01002343,2
E01002344,2
E01002345,1
E01002346,2
E01002347,2
E01002348,2
E01002349,2
E01002350,1
E01002351,2
E01002352,2
E01002353,3
E01002354,0
E01002355,0
E01002356,1
E01002358,3
E01002359,0
E01002360,2
E01002361,2
E01002362,0
E01002363,2
E01002364,0
E01002365,2
E01002366,2
E01002367,2
E01002368,1
E01002369,2
E01002370,1
E01002371,2
E01002372,2
E01002373,2
E01002374,2
E01002375,1
E01002376,0
E01002377,2
E01002378,0
E01002379,0
E01002380,2
E01002381,2
E01002382,2
E01002383,0
E01002384,0
E01002385,0
E01002386,0
E01002387,0
E01002388,0
E01002389,0
E01002390,0
E01002391,0
E01002393,1
E01002399,2
E01002400,1
E01002401,1
E01002403,1
E01002404,1
E01002405,1
E01002406,2
E01002407,3
E01002408,1
E01002409,1
E01002410,3
E01002411,2
E01002412,3
E01002413,1
E01002414,0
E01002415,0
E01002416,0
E01002417,0
E01002418,0
E01002419,0
E01002420,2
E01002421,0
E01002422,2
E01002423,2
E01002424,2
E01002425,2
E01002426,3
E01002427,2
E01002428,2
E01002429,1
E01002430,0
E01002431,0
E01002432,0
E01002433,2
E01002434,0
E01002435,0
E01002436,0
E01002437,0
E01002438,0
E01002439,2
E01002440,2
E01002441,2
E01002442,2
E01002443,3
E01002445,1
E01002446,3
E01002448,3
E01002449,3
E01002450,2
E01002451,0
E01002452,0
E01002453,2
E01002454,2
E01002455,2
E01002456,2
E01002458,0
E01002459,0
E01002460,0
E01002461,0
E01002462,0
E01002463,0
E01002464,0
E01002465,2
E01002466,0
E01002467,0
E01002468,0
E01002469,0
E01002470,3
E01002471,0
E01002472,3
E01002473,0
E01002474,0
E01002475,2
E01002476,0
E01002477,0
E01002478,0
E01002479,2
E01002480,0
E01002482,0
E01002483,0
E01002484,2
E01002485,2
E01002486,1
E01002488,2
E01002490,3
E01002494,2
E01002495,2
E01002496,3
E01002497,2
E01002498,0
E01002499,0
E01002504,1
E01002505,1
E01002509,0
E01002511,2
E01002512,0
E01002513,0
E01002514,3
E01002515,3
E01002516,0
E01002518,0
E01002519,1
E01002520,2
E01002521,1
E01002523,3
E01002525,3
E01002526,1
E01002527,1
E01002528,1
E01002529,2
E01002530,1
E01002531,2
E01002532,1
E01002533,2
E01002534,0
E01002535,0
E01002536,0
E01002537,0
E01002538,2
E01002539,0
E01002540,1
E01002541,2
E01002542,1
E01002543,1
E01002544,2
E01002548,1
E01002549,2
E01002550,1
E01002552,1
E01002554,3
E01002555,3
E01002556,3
E01002557,1
E01002558,1
E01002560,1
E01002563,3
E01002564,1
E01002565,3
E01002567,3
E01002569,3
E01002570,3
E01002571,0
E01002572,1
E01002573,3
E01002574,3
E01002575,3
E01002576,3
E01002577,3
E01002578,3
E01002579,3
E01002580,3
E01002581,3
E01002582,3
E01002590,3
E01002591,2
E01002592,1
E01002593,3
E01002594,3
E01002595,1
E01002596,3
E01002598,1
E01002599,1
E01002600,1
E01002601,2
E01002602,2
E01002603,1
E01002605,1
E01002607,2
E01002608,1
E01002609,3
E01002611,2
E01002612,1
E01002613,2
E01002614,3
E01002616,2
E01002617,0
E01002618,3
E01002619,3
E01002620,3
E01002628,3
E01002632,3
E01002642,3
E01002643,3
E01002645,3
E01002647,3
E01002648,3
E01002654,3
E01002655,3
E01002656,3
E01002657,3
E01002658,0
E01002659,3
E01002664,3
E01002667,3
E01002668,3
E01002669,1
E01002670,3
E01002671,3
E01002674,3
E01002675,3
E01002677,3
E01002678,0
E01002679,3
E01002680,3
E01002681,3
E01002682,3
E01002683,3
E01002684,3
E01002686,1
E01002687,3
E01002689,3
E01002690,3
E01002691,3
E01002692,3
E01002693,3
E01002695,3
E01002696,3
E01002698,3
E01002699,3
